,Year,Banking Crisis ,Systemic Crisis,exch_usd,Domestic Debt,Sovereign External debt2,GDP_Weighted_default,Independence,Currency Crises,Inflation Crises
0,13.0,0.0,0.0,-0.2808107248718007,0.0,1.0,0.86,1,0,0.0
1,14.0,0.0,0.0,-0.2808106667432692,0.0,1.0,0.86,1,0,1.0
2,15.0,0.0,0.0,-0.28081062187650807,0.0,1.0,0.86,1,1,1.0
3,16.0,0.0,0.0,-0.2808106277486642,0.0,1.0,0.86,1,1,1.0
4,17.0,0.0,0.0,-0.2808106588478355,0.0,0.0,0.0,1,1,0.0
5,18.0,0.0,0.0,-0.2808106775457108,0.0,0.0,0.0,1,0,0.0
6,19.0,0.0,0.0,-0.2808106730224064,0.0,0.0,0.0,1,0,0.0
7,20.0,0.0,0.0,-0.28081066927818016,0.0,0.0,0.0,1,0,0.0
8,21.0,0.0,0.0,-0.28081067894107464,0.0,0.0,0.0,1,0,1.0
9,22.0,0.0,0.0,-0.2808106764119777,0.0,0.0,0.0,1,0,0.0
10,23.0,0.0,0.0,-0.2808106748073093,0.0,0.0,0.0,1,0,0.0
11,24.0,0.0,0.0,-0.28081067909223906,0.0,0.0,0.0,1,0,0.0
12,25.0,0.0,0.0,-0.2808106769526812,0.0,0.0,0.0,1,0,0.0
13,26.0,0.0,0.0,-0.2808106793364277,0.0,0.0,0.0,1,0,0.0
14,27.0,0.0,0.0,-0.2808106808655139,0.0,0.0,0.0,1,0,1.0
15,28.0,0.0,0.0,-0.280810679429452,0.0,0.0,0.0,1,0,1.0
16,29.0,0.0,0.0,-0.2808106767433766,0.0,0.0,0.0,1,0,0.0
17,30.0,0.0,0.0,-0.2808106731328727,0.0,0.0,0.0,1,0,0.0
18,31.0,0.0,0.0,-0.2808106789585167,0.0,0.0,0.0,1,0,0.0
19,32.0,0.0,0.0,-0.28081067521429043,0.0,0.0,0.0,1,0,0.0
20,33.0,0.0,0.0,-0.2808106757433659,0.0,0.0,0.0,1,0,0.0
21,34.0,0.0,0.0,-0.28081067602243864,0.0,0.0,0.0,1,0,0.0
22,35.0,0.0,0.0,-0.2808106769526812,0.0,0.0,0.0,1,0,0.0
23,36.0,0.0,0.0,-0.2808106769933793,0.0,0.0,0.0,1,0,0.0
24,37.0,0.0,0.0,-0.2808106815166837,0.0,0.0,0.0,1,0,0.0
25,38.0,0.0,0.0,-0.2808106782957189,0.0,0.0,0.0,1,0,0.0
26,39.0,0.0,0.0,-0.2808106772840801,0.0,0.0,0.0,1,0,0.0
27,40.0,0.0,0.0,-0.28081067800501813,0.0,0.0,0.0,1,0,0.0
28,41.0,0.0,0.0,-0.28081068044109075,0.0,0.0,0.0,1,0,0.0
29,42.0,0.0,0.0,-0.28081067580150604,0.0,0.0,0.0,1,0,0.0
30,43.0,0.0,0.0,-0.28081067858060565,0.0,0.0,0.0,1,0,0.0
31,44.0,0.0,0.0,-0.28081067992364334,0.0,0.0,0.0,1,0,0.0
32,45.0,0.0,0.0,-0.2808106761619751,0.0,0.0,0.0,1,0,1.0
33,46.0,0.0,0.0,-0.28081067478405325,0.0,0.0,0.0,1,0,1.0
34,47.0,0.0,0.0,-0.28081067620848715,0.0,0.0,0.0,1,0,1.0
35,48.0,0.0,0.0,-0.28081066075483274,0.0,0.0,0.0,1,0,0.0
36,49.0,0.0,0.0,-0.2808106657897706,0.0,0.0,0.0,1,0,0.0
37,50.0,0.0,0.0,-0.2808106476616688,0.0,0.0,0.0,1,1,0.0
38,51.0,0.0,0.0,-0.28081064709189524,0.0,0.0,0.0,1,1,0.0
39,52.0,0.0,0.0,-0.2808106588420215,0.0,0.0,0.0,1,0,0.0
40,53.0,0.0,0.0,-0.28081065853969267,0.0,0.0,0.0,1,1,0.0
41,54.0,0.0,0.0,-0.28081064813260415,0.0,0.0,0.0,1,0,1.0
42,55.0,0.0,0.0,-0.2808106624060133,0.0,0.0,0.0,1,0,0.0
43,56.0,0.0,0.0,-0.2808106699119079,0.0,0.0,0.0,1,1,0.0
44,57.0,0.0,0.0,-0.28081066534209137,0.0,0.0,0.0,1,0,0.0
45,58.0,0.0,0.0,-0.28081067266775145,0.0,0.0,0.0,1,0,0.0
46,59.0,0.0,0.0,-0.2808106509407738,0.0,0.0,0.0,1,1,0.0
47,60.0,0.0,0.0,-0.2808106141147968,0.0,0.0,0.0,1,1,1.0
