,Systemic Crisis,Banking Crisis,Gold Standard,exch_usd,Domestic_Debt_In_Default,Sovereign External Debt Default,Weighted GDP,Inflation,Independence,Currency Crises,Inflation Crises
987,0.0,0.0,0.0,-0.29139741444183687,0.0,0.0,0.0,-0.13982858963406203,1.0,0.0,0.0
632,0.0,0.0,1.0,-0.3081822177382657,0.0,0.0,0.0,0.14983120777935283,1.0,1.0,0.0
1446,0.0,1.0,0.0,0.07552789667778345,0.0,0.0,0.0,0.16697012698749905,1.0,0.0,0.0
3605,0.0,0.0,0.0,4.631212475889876,0.0,0.0,0.0,-0.1192198673785656,1.0,0.0,0.0
2114,0.0,0.0,0.0,-0.2851716415895514,0.0,1.0,0.0,0.38119473367243295,1.0,0.0,1.0
3737,0.0,0.0,0.0,3.2371334659344533,0.0,0.0,0.0,-0.10349935320986574,1.0,0.0,0.0
3818,0.0,0.0,0.0,-0.2374644336186093,0.0,0.0,0.0,-0.07257167775350055,1.0,0.0,0.0
6278,0.0,0.0,0.0,-0.3074282854275155,0.0,0.0,0.0,0.10662413367611587,1.0,0.0,1.0
955,0.0,0.0,0.0,-0.3055289305986119,0.0,0.0,0.0,-0.09980461332587047,0.0,0.0,0.0
6557,0.0,0.0,0.0,-0.2907946015148695,0.0,0.0,0.0,-0.18427149081851912,1.0,0.0,0.0
6099,0.0,0.0,0.0,-0.3043559159358083,0.0,0.0,0.0,-0.17136996092078866,1.0,0.0,0.0
3670,0.0,0.0,1.0,-0.28986271202285285,0.0,0.0,0.0,0.05435824680967617,1.0,0.0,0.0
1981,0.0,0.0,0.0,-0.3079135004228286,0.0,0.0,0.0,-0.36764079871246064,1.0,0.0,0.0
3162,0.0,0.0,0.0,-0.28845746615047985,0.0,0.0,0.0,-0.32235012391813267,0.0,0.0,0.0
3244,0.0,0.0,0.0,-0.26288732765002154,0.0,0.0,0.0,-0.16638889706345655,1.0,0.0,0.0
4747,0.0,0.0,0.0,-0.27934115590249037,0.0,1.0,0.0,-0.04039894392768769,1.0,0.0,0.0
3778,0.0,0.0,0.0,0.8656081181702059,0.0,0.0,0.0,-0.23431913892825496,1.0,0.0,0.0
446,0.0,0.0,0.0,-0.304738356268163,0.0,0.0,0.0,-0.10440085059239897,1.0,0.0,0.0
6271,0.0,0.0,0.0,-0.3079451233960465,0.0,0.0,0.0,-0.29029275470878746,1.0,0.0,0.0
3208,0.0,0.0,0.0,-0.27314008849803134,0.0,0.0,0.0,-0.2905951857626104,0.0,1.0,0.0
3273,0.0,0.0,0.0,-0.05458285019167912,0.0,0.0,0.0,0.03891006244279352,1.0,1.0,0.0
5371,0.0,0.0,0.0,-0.29049912435886427,0.0,0.0,0.0,-0.36203893767613715,1.0,0.0,0.0
1155,0.0,0.0,1.0,-0.30014314297242844,0.0,0.0,0.0,-0.3351980463391804,1.0,0.0,0.0
4904,0.0,0.0,0.0,-0.2750226436224129,0.0,0.0,0.0,-0.16175520872048954,1.0,0.0,0.0
3576,0.0,0.0,0.0,4.631212475889876,0.0,0.0,0.0,-0.20557341472567817,1.0,0.0,0.0
2700,0.0,0.0,0.0,-0.21105529810996204,0.0,1.0,8.68,-0.18232049695858774,1.0,0.0,0.0
503,0.0,1.0,0.0,-0.2968707581751176,0.0,0.0,0.0,-0.17376664426682614,1.0,1.0,0.0
615,0.0,0.0,1.0,-0.30987697180443496,0.0,0.0,0.0,-0.26552483883949074,1.0,0.0,0.0
699,0.0,0.0,0.0,-0.3020964793493639,0.0,0.0,0.0,-0.20232992054883622,1.0,0.0,0.0
1626,1.0,1.0,0.0,0.3744638153787938,0.0,1.0,0.0,0.10846081466127178,1.0,1.0,0.0
3698,0.0,0.0,0.0,-0.28968384458058877,0.0,0.0,0.0,-0.43037171397742036,1.0,0.0,0.0
4730,0.0,0.0,0.0,-0.24104079424597774,0.0,0.0,0.0,-0.2127522142789049,1.0,0.0,0.0
5847,0.0,0.0,0.0,-0.2743012445458783,0.0,0.0,0.0,-0.10049739374033399,1.0,0.0,0.0
1911,0.0,0.0,0.0,-0.06282261115078333,0.0,0.0,0.0,0.13171412083913178,1.0,0.0,0.0
4236,0.0,0.0,1.0,-0.29878283873466943,0.0,0.0,0.0,-0.20908159536509513,1.0,0.0,0.0
5280,0.0,0.0,0.0,-0.3015002316296847,0.0,0.0,0.0,-0.19543675994320658,1.0,1.0,0.0
72,0.0,0.0,0.0,0.47796383028534456,0.0,0.0,0.0,-0.20982158911124202,1.0,0.0,0.0
3093,0.0,0.0,0.0,0.30818601638560583,0.0,0.0,0.0,0.11048335879106727,1.0,1.0,0.0
5672,0.0,0.0,0.0,-0.24373566449489562,0.0,0.0,0.0,-0.0015833937526679564,1.0,0.0,0.0
889,0.0,0.0,0.0,0.2830536584206336,0.0,0.0,0.0,0.29668583423255857,1.0,0.0,1.0
6582,0.0,0.0,0.0,-0.3098206621732454,0.0,0.0,0.0,-0.7596992309438637,1.0,0.0,0.0
194,0.0,0.0,0.0,-0.30987708941608016,0.0,0.0,0.0,-0.29666257119214434,1.0,0.0,0.0
4532,0.0,1.0,0.0,-0.1808425118539422,0.0,1.0,0.0,-0.0010248650179647339,1.0,0.0,0.0
4706,0.0,0.0,0.0,-0.2604167828673685,0.0,0.0,0.0,-0.07173388676945525,1.0,0.0,0.0
5230,0.0,0.0,0.0,-0.025266921102658,0.0,0.0,0.0,-0.1901858823757921,1.0,0.0,0.0
934,0.0,1.0,0.0,-0.2586379906238584,0.0,1.0,0.0,0.017198670355600913,1.0,0.0,0.0
5827,0.0,0.0,1.0,-0.2729483742228975,0.0,0.0,0.0,-0.232847610192264,1.0,0.0,0.0
3853,0.0,0.0,0.0,0.5730956159040932,0.0,0.0,0.0,-0.09738464605893653,1.0,0.0,0.0
1871,0.0,0.0,0.0,0.04964646953471085,0.0,0.0,0.0,-0.2095739306463691,1.0,0.0,0.0
2855,0.0,1.0,0.0,1.8106409084306232,0.0,0.0,0.0,0.08817345874709845,1.0,0.0,0.0
5768,0.0,0.0,0.0,-0.2730392902708991,0.0,0.0,0.0,-0.3444822467810863,1.0,0.0,0.0
3369,0.0,0.0,0.0,-0.30987708941608116,0.0,0.0,0.0,0.37239302248748213,1.0,1.0,1.0
4791,0.0,0.0,0.0,4.631212475889876,0.0,1.0,0.0,0.22708921933540027,1.0,0.0,1.0
232,0.0,0.0,0.0,-0.30987708941607883,0.0,0.0,0.0,-0.4383977643473515,1.0,0.0,0.0
3776,0.0,0.0,0.0,0.7190554016632312,0.0,0.0,0.0,-0.23954060489599235,1.0,0.0,0.0
2531,0.0,0.0,0.0,-0.3009599472445529,0.0,0.0,0.0,-0.1932284719647564,1.0,0.0,0.0
521,0.0,0.0,0.0,-0.29885893897499305,0.0,0.0,0.0,-0.2027839610677699,1.0,0.0,0.0
391,0.0,0.0,1.0,-0.30579574943513843,0.0,0.0,0.0,-0.405914411126986,0.0,0.0,0.0
2247,0.0,0.0,0.0,-0.3092047848448456,0.0,0.0,0.0,-0.21950448666527878,1.0,0.0,0.0
1963,0.0,0.0,0.0,-0.30794018230648124,0.0,0.0,0.0,-0.11648360133073861,1.0,0.0,0.0
2715,0.0,0.0,0.0,-0.27036813725189474,0.0,0.0,0.0,-0.1801270841308515,1.0,0.0,0.0
4865,0.0,0.0,0.0,-0.30987708941608116,0.0,0.0,0.0,-0.0779835376033861,1.0,0.0,0.0
3256,0.0,0.0,0.0,-0.2295349730842063,0.0,1.0,7.47,0.30985474727898615,1.0,0.0,1.0
